Telaio	Status	Modello	Data Gated In	Data Consegna	Tecnico	Carrozzeria 1	Carrozzeria extra	Bisarchista	1	2	3	4	5	6	7	8	9	10	Note
KT648949	IC–INCarrozzeria	COMPASS	13/02/2020		Juliano	Ercolani	X Car		3° STOP	 COFANO POST	MOD LATO DX SUPERIORI POST/PARAFANGO POST	FANALE POST DX (PA)	MOD LATO SX  ANT/POST/PARAFANGO POST	MOD COFANO POST (C)					
KT691026	IC–INCarrozzeria	COMPASS	13/02/2020		Juliano	Ercolani			MOD lato Sx  ANT/POST/PARAFANGO POST	Calandra tra cofano e parabrezza									
KT606989	In rientro	COMPASS	07/01/2020		Leo	Ercolani			PARABREZZA	MOD LATO SX ANT/POST/PARAFANGO POST	FANALE POST. SX (PA)								RIMANDARE A ERCOLANI
KT632460	IC–INCarrozzeria	COMPASS	21/02/2020		Rafael	Ercolani			FARO ANT. Dx	MOD lato dx  ANT/POST/PARAFANGO POST	COPEERTURA BARRA TETTO DX								
KT631385	FA-Fatturato	COMPASS	11/12/2019	28/02/2020	Roberto	Ercolani			MOD LATO SX  POST	CORRIMANO SX COMPLETO (CROMATURA + PLASTICA)									
KPK12508	FA-Fatturato	RENEGADE	08/01/2020	10/02/2020	Roberto	Ercolani			CALOTTA SPECCHIO ANT SX	VETRINO SPECCHIO DX									
KT632477	IC–INCarrozzeria	COMPASS	14/02/2020		Roberto	Ercolani	X Car		PARABREZZA	MOD LATO SX ANT/PORTA	MOD LATO DX ANT/PORTA	MOD COFANO POST							
KT663189	FA-Fatturato	COMPASS	11/12/2019	23/01/2020	Ciro	Eurocar			MOD LATO SX  ANT/POST/PARAFANGO POST										
KT710710	FA-Fatturato	COMPASS	11/12/2019	31/01/2020	Costantino	Eurocar			MOD LATO SX  ANT/POST/PARAFANGO POST										Rossa
KPJ69909	FA-Fatturato	RENEGADE	08/01/2020	12/02/2020	Damiani	Eurocar			CAPPELLIERA DEFORMATA										
KPK19530	FA-Fatturato	RENEGADE	22/01/2020	19/02/2020	Ederson	Eurocar													
KT607653	Pronta x consegna	COMPASS	13/03/2020		Ederson	Eurocar			MOD LATO SX  ANT/POST/PARAFANGO POST										
KPK32317	IC–INCarrozzeria	RENEGADE	26/02/2020		Fabrizio	Eurocar			PARABREZZA	CALOTTA  DX									
KT631435	PF–Preparazionefinale	COMPASS	13/03/2020		Fabrizio	Eurocar			PARABREZZA	FARO ANT SX	MOD LATO DX SUPERIORI ANT/POST/PARAFANGO POST	 	 						
KT698112	Pronta x consegna	COMPASS	29/02/2020		Fabrizio	Eurocar	X Car		MOD LATO DX SUPERIORI ANT/POST/PARAFANGO POST	MOD LATO SX ANT/POST	Calandra tra cofano e parabrezza								
